symbol,date,open,high,low,close,volume,prev_close,gap,run,dollar_vol,advol20,rvol
AMKR,2025-07-29,24.266989,26.038519,24.123486,24.821211,9435078.0,21.010937,0.1549693857061205,0.2392840452570013,234190061.83945802,1658180.75,5.69001781018143
AMKR,2025-11-03,33.706407,37.95695,33.581572,37.579565,10475805.0,32.057832,0.0514250308629729,0.18401487661423888,393676194.924825,3335421.7,3.140773773822962
AMPL,2025-02-20,14.6,14.88,13.1059,14.44,4087662.0,11.85,0.23206751054852326,0.2556962025316456,59025839.28,564490.0,7.241336427571791
AMPL,2025-05-08,9.98,10.93,9.67,10.5,3562620.0,9.42,0.05944798301486198,0.16029723991507439,37407510.0,959884.0,3.711510974242721
AMPL,2025-08-07,13.81,14.49,11.92,12.6,4769117.0,12.22,0.13011456628477913,0.185761047463175,60090874.199999996,1180503.35,4.039901284481743
AMPL,2026-07-01,8.24,9.18,8.09,8.55,8560683.0,7.65,0.0771241830065359,0.19999999999999996,73193839.65,2424228.6,3.5313018747489404
AMZN,2026-07-31,265.0,273.23,262.01,271.58,129054771.0,235.5,0.12526539278131632,0.1602123142250531,35048694708.18,41627029.45,3.100263763836744
APLD,2025-01-14,9.53,9.715,8.25,8.54,69563284.0,7.765,0.22730199613650992,0.2511268512556344,594070445.3599999,15965507.45,4.357098214250622
APLD,2025-06-02,8.27,10.54,8.03,10.14,239746469.0,6.83,0.2108345534407028,0.5431918008784771,2431029195.6600003,36179701.65,6.626546324767717
APLD,2025-06-04,10.475,13.47,10.46,13.25,219053333.0,10.25,0.02195121951219514,0.3141463414634147,2902456662.25,52447752.05,4.176600987420204
APLD,2025-07-31,12.57,14.06,12.2,13.14,138168411.0,10.03,0.25324027916251257,0.40179461615154555,1815532920.54,28645303.45,4.823422842811603
APLD,2025-10-10,37.02,39.0697,32.8301,33.99,108222881.0,29.29,0.2639125981563675,0.33389211334926583,3678495725.19,29253504.9,3.6994842624823394
APLD,2026-01-08,31.65,35.5,31.06,31.94,91307437.0,29.56,0.0707036535859269,0.20094722598105563,2916359537.78,27627715.15,3.3049217607848402
APP,2024-11-07,230.0,257.43,228.1,246.53,18592811.0,168.55,0.3645802432512606,0.5273212696529219,4583685695.83,3719287.9,4.999024410022145
APP,2024-11-08,249.09,292.86,243.25,290.01,15031876.0,246.53,0.010384131748671477,0.18792844684216936,4359394358.76,4456608.3,3.372940807923371
APP,2025-02-13,499.34,525.15,449.0,471.67,19398871.0,380.32,0.31294699200673115,0.3808108960875052,9149865484.57,4209226.2,4.608654911441918
APP,2025-08-07,397.25,453.76,385.1,437.34,20738715.0,390.57,0.017103208131705072,0.1617891799165323,9069869618.1,4873249.4,4.255623568126843
ARM,2025-01-22,160.37,182.88,159.95,179.93,27244374.0,155.2,0.03331185567010331,0.17835051546391756,4902080213.820001,4574352.95,5.955896778800158
ARM,2026-03-25,148.255,166.69,148.25,157.07,29579891.0,134.96,0.09851066982809709,0.23510669828097197,4646113479.37,4846624.9,6.103193791621877
AS,2025-05-20,36.0,37.99,35.595,37.37,19816161.0,31.39,0.14686205798024843,0.2102580439630457,740529936.5699999,3867434.15,5.123852205731803
ASAN,2024-12-06,20.0,22.54,19.01,22.19,23918113.0,15.46,0.2936610608020698,0.4579560155239326,530742927.47,1923423.95,12.435174782969714
AVGO,2024-12-13,210.642019,225.216595,207.894514,221.375997,121336628.0,177.908308,0.18399203144577148,0.26591387176814707,26861016996.11812,23254825.9,5.217696684626652
AVGO,2025-09-05,353.192118,353.748045,329.009308,332.454068,78401554.0,303.873482,0.1622999008514996,0.16412936947225942,26064915564.821674,18451091.05,4.249155444929637
AVPT,2024-11-08,14.26,15.6399,14.06,14.89,2781659.0,13.48,0.05786350148367947,0.16022997032640962,41418902.51,576054.85,4.828809270506099
AVTR,2026-07-29,14.49,14.62,13.63,14.38,42795041.0,12.42,0.16666666666666674,0.17713365539452486,615392689.58,10465022.15,4.0893406995798856
BAX,2026-07-30,29.058789,29.98843,26.034956,26.739684,22671820.0,24.760447,0.17359710832360986,0.21114251289566788,606237302.50488,5744919.3,3.9464122672706647
BBIO,2024-11-25,28.81,30.51,26.86,27.19,14615084.0,23.42,0.23014517506404775,0.3027327070879591,397384133.96000004,1825669.25,8.005329552436729
BBIO,2025-01-13,28.98,34.25,28.1,33.73,10113379.0,29.08,-0.003438789546079679,0.17778541953232474,341124273.66999996,1661729.3,6.08605685655299
BBIO,2025-10-27,57.0,65.0,56.74,63.56,8486846.0,54.26,0.05049760412827142,0.19793586435680055,539423931.76,1793245.15,4.7326747265983125
