symbol,date,gap,atr_pct,entry,exit,reason,exit_min,gross,ret,period
CRCL,2025-09-15,0.036546441110756556,0.07341417400027359,128.4,134.82000000000002,stop,915,-0.04761904761904778,-0.04901904761904778,IS
JOBY,2025-09-15,0.038928571428571423,0.058590816326530626,14.225,14.12,eod,945,0.00743626062322944,0.00603626062322944,IS
MP,2025-09-15,0.039363879703983695,0.055583372697213064,64.88,65.94,eod,945,-0.016075219896875992,-0.01747521989687599,IS
ASST,2025-09-18,0.03260869565217406,0.4647185559006211,72.90000000000002,76.4,eod,945,-0.04581151832460717,-0.04721151832460717,IS
RUN,2025-09-18,0.034569453174104314,0.0680196641824549,15.71,16.3,eod,945,-0.03619631901840492,-0.03759631901840492,IS
ALAB,2025-09-29,0.05276064313884121,0.0749785837077272,201.38,198.8,eod,945,0.012977867203219251,0.01157786720321925,IS
CRDO,2025-10-02,0.05210130425781534,0.06576732356043649,146.75,154.0875,stop,630,-0.04761904761904767,-0.04901904761904767,OOS
CRDO,2025-10-03,0.037759807525229006,0.06588862050200014,151.66,143.87,eod,945,0.05414610412177656,0.05274610412177656,OOS
ASST,2025-10-06,0.03461538461538449,0.2118049450549451,52.60000000000001,50.60000000000001,eod,945,0.03952569169960474,0.03812569169960474,OOS
CRDO,2025-10-06,0.06234795301313678,0.07199445928367869,149.4,147.42,eod,945,0.013431013431013605,0.012031013431013605,OOS
ASST,2025-10-09,0.04020100502512558,0.19202081837760226,39.8,36.2,eod,945,0.09944751381215444,0.09804751381215444,OOS
AEHR,2025-10-13,0.047679863771817876,0.11421699203308402,23.52,24.696,stop,750,-0.04761904761904767,-0.04901904761904767,OOS
ALAB,2025-10-13,0.040032006207264326,0.08252374486480497,205.0,199.53,eod,945,0.027414423896156004,0.026014423896156005,OOS
BILI,2025-10-13,0.039473684210526105,0.05078410311493023,27.41,27.24,eod,945,0.006240822320117578,0.004840822320117578,OOS
LRCX,2025-10-13,0.0511532274987041,0.04284736356716507,136.12646594725925,137.322118,eod,945,-0.008706915318191788,-0.010106915318191788,OOS
ALAB,2025-10-15,0.05583410708758896,0.10852062607772917,165.8348,161.465,eod,945,0.027063450283343116,0.025663450283343117,OOS
LITE,2025-10-15,0.03616532721010324,0.06257767936872415,158.6,156.57,eod,945,0.012965446765025312,0.011565446765025312,OOS
XPEV,2025-10-15,0.03100046970408643,0.051304435348587536,21.8402,21.64,eod,945,0.009251386321626587,0.007851386321626587,OOS
SBET,2025-10-16,0.05412541254125425,0.08268175388967461,15.51,14.57,eod,945,0.06451612903225801,0.06311612903225801,OOS
IONQ,2025-10-20,0.03765490943755956,0.11277111988742111,62.26,59.94,eod,945,0.03870537203870539,0.03730537203870539,OOS
ONDS,2025-10-20,0.059132720105124825,0.16535104186221133,7.742,7.77,eod,945,-0.003603603603603567,-0.005003603603603567,OOS
ASST,2025-10-21,0.031018518518518334,0.28530919312169306,16.6,16.6,eod,945,0.0,-0.0014,OOS
EXK,2025-10-23,0.031133250311332406,0.09837484433374843,8.025,8.06,eod,945,-0.004342431761786614,-0.005742431761786614,OOS
IONQ,2025-10-23,0.10189359783588814,0.13070900425093393,58.1,61.005,stop,885,-0.04761904761904767,-0.04901904761904767,OOS
RGTI,2025-10-23,0.11980033277870206,0.17786427382933206,38.56,40.48800000000001,stop,615,-0.04761904761904767,-0.04901904761904767,OOS
BMNR,2025-10-24,0.036796084754137315,0.09406659038680501,50.53515889704424,50.3952,eod,945,0.002777226740726002,0.001377226740726002,OOS
SBET,2025-10-24,0.04035542391706781,0.09265774580843067,13.79,13.92,eod,945,-0.009339080459770166,-0.010739080459770166,OOS
SMR,2025-10-24,0.03833865814696469,0.15031568537958317,38.1,37.73,eod,945,0.009806520010601671,0.008406520010601671,OOS
TEM,2025-10-24,0.037054058712012505,0.07676952621687495,88.825,89.23,eod,945,-0.004538832231312351,-0.005938832231312351,OOS
BMNR,2025-10-27,0.07002577626440609,0.08592384932351836,52.144686072612174,53.694231,eod,945,-0.028858685533420303,-0.0302586855334203,OOS
MARA,2025-10-27,0.042476970317298024,0.09775954086854806,19.7844,19.56,eod,945,0.011472392638036899,0.010072392638036899,OOS
MSTR,2025-10-27,0.036045385360453874,0.05765578979620076,296.09,295.63,eod,945,0.0015559990528701828,0.00015599905287018282,OOS
OKLO,2025-10-27,0.06431459022418218,0.137383472462855,137.0,137.43,eod,945,-0.0031288656043076957,-0.004528865604307696,OOS
ONDS,2025-10-27,0.09718498659517438,0.14943603983148218,7.75,7.53,eod,945,0.02921646746347939,0.02781646746347939,OOS
SBET,2025-10-27,0.06465517241379315,0.08659123563218382,14.49,14.31,eod,945,0.012578616352201255,0.011178616352201255,OOS
TEM,2025-10-27,0.030034741678807597,0.07546693136517184,90.23,91.58,eod,945,-0.014741209871150796,-0.016141209871150794,OOS
ASTS,2025-10-29,0.07123569499807125,0.10396278403350537,79.43,80.06,eod,945,-0.007869098176367717,-0.009269098176367717,OOS
CDE,2025-10-29,0.03938734340681371,0.09450805105586356,18.29945048109589,18.229529,eod,945,0.003835616438356171,0.0024356164383561706,OOS
EQX,2025-10-29,0.038961025654400405,0.05884705163481367,10.760677711732356,10.865247,eod,945,-0.009624197983501337,-0.011024197983501337,OOS
EXK,2025-10-29,0.03101736972704705,0.09658720311946113,8.0399,8.08,eod,945,-0.0049628712871288005,-0.006362871287128801,OOS
HL,2025-10-29,0.03529411487651024,0.08018710588237828,12.769010015961694,12.519225,eod,945,0.01995211492418214,0.018552114924182142,OOS
HMY,2025-10-29,0.03915662299072986,0.07137256486282058,16.483968710403918,16.024991,eod,945,0.028641370869033178,0.02724137086903318,OOS
BMNR,2025-10-31,0.05005611075036165,0.0839743440466279,45.886624163567,46.636304,eod,945,-0.01607502679528383,-0.01747502679528383,OOS
GLXY,2025-10-31,0.03252270729563422,0.10493658699928843,34.71,35.01,eod,945,-0.00856898029134523,-0.00996898029134523,OOS
IREN,2025-10-31,0.06149089659910678,0.11566631496294842,60.95,60.75,eod,945,0.003292181069958877,0.0018921810699588772,OOS
LUNR,2025-10-31,0.03254177660510127,0.10619927126523432,11.62,11.93,eod,945,-0.025984911986588477,-0.027384911986588475,OOS
MARA,2025-10-31,0.03012387387387383,0.09525740025740026,17.87,18.27,eod,945,-0.021893814997263172,-0.02329381499726317,OOS
BTDR,2025-11-03,0.09459459459459474,0.11358108108108107,23.15,22.85,eod,945,0.013129102844638751,0.011729102844638751,OOS
CLSK,2025-11-03,0.05870786516853932,0.11730176565008023,17.84,17.42,eod,945,0.02411021814006875,0.022710218140068753,OOS
GLXY,2025-11-03,0.04841473864610113,0.10065654710898927,35.2,34.88,eod,945,0.00917431192660545,0.007774311926605449,OOS
HIMS,2025-11-03,0.03167619885613715,0.08604974545911635,45.81,44.39,eod,945,0.03198918675377338,0.03058918675377338,OOS
BMNR,2025-11-05,0.045362380212234266,0.0916660602387773,40.28816783437952,42.3025762260985,stop,705,-0.04761904761904767,-0.04901904761904767,OOS
FSM,2025-11-05,0.030612244897959107,0.05439231049562682,7.9,7.88,eod,945,0.002538071065989911,0.0011380710659899108,OOS
GLXY,2025-11-05,0.03240295155598316,0.1101924927815207,30.9,31.44,eod,945,-0.01717557251908408,-0.01857557251908408,OOS
HMY,2025-11-05,0.04739963540704162,0.06363914382267676,15.524822626097867,15.632702,eod,945,-0.006900878293600976,-0.008300878293600976,OOS
HUT,2025-11-05,0.040116399916857226,0.1122735101107581,48.5212,47.0,eod,945,0.03236595744680848,0.03096595744680848,OOS
IONQ,2025-11-05,0.030348445110528255,0.10515374939784831,53.37,56.0385,stop,870,-0.04761904761904767,-0.04901904761904767,OOS
RGTI,2025-11-05,0.031267765776009204,0.14524059936652323,35.44,37.211999999999996,stop,855,-0.04761904761904756,-0.04901904761904756,OOS
SMR,2025-11-05,0.07269155206286837,0.1339759833206367,37.55,37.91,eod,945,-0.009496175151675001,-0.010896175151675002,OOS
GLXY,2025-11-06,0.04230279898218825,0.10529330243547799,31.36,30.38,eod,945,0.032258064516129004,0.030858064516129005,OOS
ACHR,2025-11-10,0.0354523227383865,0.08928309465595537,8.29,8.45,eod,945,-0.018934911242603603,-0.0203349112426036,OOS
AG,2025-11-10,0.05170898158666226,0.06735880624873472,11.841401093434342,11.851377,eod,945,-0.0008417508417508657,-0.002241750841750866,OOS
ASTS,2025-11-10,0.030640265934383626,0.08672516672516674,70.1,68.7,eod,945,0.020378457059679667,0.018978457059679668,OOS
BMNR,2025-11-10,0.07904550548125155,0.0898048681713003,42.52750988383961,41.137918,eod,945,0.03377885783718115,0.032378857837181155,OOS
BTDR,2025-11-10,0.045020463847203374,0.08651172610927046,21.94,17.65,eod,945,0.24305949008498606,0.24165949008498605,OOS
CLSK,2025-11-10,0.05651894669235702,0.10594549958711806,16.25,15.03,eod,945,0.08117099135063222,0.07977099135063222,OOS
COIN,2025-11-10,0.04489875137478161,0.06758722354180724,319.18,317.93,eod,945,0.003931683074890779,0.002531683074890779,OOS
CRCL,2025-11-10,0.04518130696141154,0.08121014432532757,107.0,104.1,eod,945,0.02785782901056688,0.026457829010566883,OOS
CRWV,2025-11-10,0.06047495433131411,0.07852946832035382,108.19,105.61,eod,945,0.024429504781744216,0.023029504781744217,OOS
HIMS,2025-11-10,0.03570558128198864,0.0722922252010724,41.52,41.05,eod,945,0.011449451887941775,0.010049451887941775,OOS
MARA,2025-11-10,0.04347826086956519,0.07491133315329913,16.38,15.58,eod,945,0.051347881899871606,0.04994788189987161,OOS
MSTR,2025-11-10,0.03203405943868054,0.06458400009447833,246.3501,238.88,eod,945,0.031271349631614154,0.029871349631614155,OOS
OKLO,2025-11-10,0.038526409232134906,0.13602739204869702,113.14,111.52,eod,945,0.014526542324246883,0.013126542324246883,OOS
ONDS,2025-11-10,0.09638554216867479,0.12774157855913448,6.03,5.88,eod,945,0.025510204081632626,0.024110204081632627,OOS
RKLB,2025-11-10,0.04066615027110765,0.08061732322673461,52.97,51.9,eod,945,0.02061657032755293,0.01921657032755293,OOS
SBET,2025-11-10,0.03929765886287617,0.08124581939799323,12.2306,11.95,eod,945,0.023481171548117352,0.022081171548117354,OOS
SMR,2025-11-10,0.056690837178642095,0.14817544024861096,29.5301,28.43,eod,945,0.038695040450228646,0.03729504045022865,OOS
SOUN,2025-11-10,0.058345120226308333,0.08771570014144273,14.56,14.41,eod,945,0.010409437890353868,0.009009437890353867,OOS
TEM,2025-11-10,0.0598099496925657,0.07677962548910003,74.2,71.78,eod,945,0.033714126497631725,0.032314126497631726,OOS
NBIS,2025-11-11,0.038017280582082646,0.09332150977717142,105.83,111.1215,stop,690,-0.04761904761904756,-0.04901904761904756,OOS
RKLB,2025-11-11,0.07899807321772645,0.08098417285989548,53.57,51.24,eod,945,0.04547228727556596,0.04407228727556596,OOS
BMNR,2025-11-12,0.03713060384286604,0.08707104534629141,40.42312863482869,40.558089,eod,945,-0.0033275819571111365,-0.004727581957111137,OOS
BTDR,2025-11-12,0.03262316910785623,0.14011556020544036,14.72,13.94,eod,945,0.05595408895265441,0.054554088952654414,OOS
CRWV,2025-11-12,0.03823961986650071,0.09765156045447936,90.115,85.43,eod,945,0.05484022006320943,0.053440220063209434,OOS
ONDS,2025-11-12,0.03189655172413808,0.12222906403940886,5.81,5.51,eod,945,0.05444646098003636,0.05304646098003636,OOS
SBET,2025-11-12,0.03114186851211076,0.07676594167078589,11.8,11.57,eod,945,0.01987899740708743,0.01847899740708743,OOS
AEHR,2025-11-20,0.06495468277945626,0.08324126025032368,20.6,19.4,eod,945,0.06185567010309301,0.06045567010309301,OOS
AFRM,2025-11-20,0.035195103289977325,0.07062400262323754,67.22,62.54,eod,945,0.07483210745123126,0.07343210745123126,OOS
